screening_index,pdb_id,chain_id,uniprot_id,pair_name,preflight_status,selected_afdb_model_entity_id,selected_afdb_version,afdb_fragment_start,afdb_fragment_end,plddt_model_entity_id,confidence_model_match,plddt_bfactor_match,plddt_bfactor_max_abs_delta,mapped_start,mapped_end,mapped_position_count,scorable_position_count,scorable_fraction,mapped_plddt_min,mapped_plddt_q10,mapped_plddt_median,below_70_position_count,below_80_position_count,below_70_segment_count,below_80_segment_count,longest_below_70_start,longest_below_70_end,longest_below_70_length,longest_below_70_is_internal,longest_below_80_start,longest_below_80_end,longest_below_80_length,longest_below_80_is_internal,longest_internal_below_70_start,longest_internal_below_70_end,longest_internal_below_70_length,longest_internal_below_80_start,longest_internal_below_80_end,longest_internal_below_80_length,distance_to_n_terminus,distance_to_c_terminus,terminal_only_below_80,missing_ca_interruption_count,unmapped_position_interruption_count,is_low_conf_local,scoring_status,scoring_reason
101,8pb5,A,P0DPA9,8pb5_A__P0DPA9,pass_full_length,AF-P0DPA9-F1,6,1,309,AF-P0DPA9-F1,True,True,0.0,1,309,309,309,1.0,35.06,62.884,94.88,35,43,1,6,186.0,220.0,35,True,185.0,221.0,37,True,186.0,220.0,35,185.0,221.0,37,184.0,88.0,False,0,0,True,success,scored
103,5avd,A,P00772,5avd_A__P00772,pass_full_length,AF-P00772-F1,6,1,266,AF-P00772-F1,True,True,0.0,27,266,240,240,1.0,62.03,94.048,98.62,1,3,1,1,27.0,27.0,1,False,27.0,29.0,3,False,,,0,,,0,0.0,237.0,False,0,0,False,success,scored
105,1pq7,A,P35049,1pq7_A__P35049,pass_full_length,AF-P35049-F1,6,1,248,AF-P35049-F1,True,True,0.0,25,248,224,224,1.0,62.88,93.247,98.5,1,2,1,1,25.0,25.0,1,False,25.0,26.0,2,False,,,0,,,0,0.0,222.0,False,0,0,False,success,scored
106,8rma,A,W1DN50,8rma_A__W1DN50,pass_full_length,AF-W1DN50-F1,6,1,291,AF-W1DN50-F1,True,True,0.0,29,291,263,263,1.0,68.75,97.0,98.75,2,5,1,2,29.0,30.0,2,False,29.0,31.0,3,False,,,0,,,0,0.0,260.0,False,0,0,False,success,scored
107,8c3x,A,A0A7I9C8Z1,8c3x_A__A0A7I9C8Z1,pass_full_length,AF-A0A7I9C8Z1-F1,6,1,240,AF-A0A7I9C8Z1-F1,True,True,0.0,17,240,224,224,1.0,68.94,91.44,97.75,1,3,1,2,86.0,86.0,1,True,86.0,87.0,2,True,86.0,86.0,1,86.0,87.0,2,69.0,153.0,False,0,0,False,success,scored
109,2jfr,A,A0QTQ6,2jfr_A__A0QTQ6,pass_full_length,AF-A0QTQ6-F1,6,1,233,AF-A0QTQ6-F1,True,True,0.0,1,233,233,233,1.0,57.41,87.924,96.62,2,5,1,3,1.0,2.0,2,False,1.0,2.0,2,False,,,0,83.0,84.0,2,0.0,231.0,False,0,0,False,success,scored
110,1n9b,A,P30896,1n9b_A__P30896,pass_full_length,AF-P30896-F1,6,1,286,AF-P30896-F1,True,True,0.0,22,286,265,265,1.0,59.69,97.12,98.62,1,3,1,2,286.0,286.0,1,False,285.0,286.0,2,False,,,0,,,0,263.0,0.0,False,0,0,False,success,scored
111,1i1w,A,P23360,1i1w_A__P23360,pass_full_length,AF-P23360-F1,6,1,329,AF-P23360-F1,True,True,0.0,27,329,303,303,1.0,59.94,98.31,98.81,2,4,1,2,27.0,28.0,2,False,27.0,29.0,3,False,,,0,,,0,0.0,300.0,False,0,0,False,success,scored
112,4f1v,A,C3K8K1,4f1v_A__C3K8K1,pass_full_length,AF-C3K8K1-F1,6,1,394,AF-C3K8K1-F1,True,True,0.0,25,394,370,370,1.0,84.69,97.804,98.75,0,0,0,0,,,0,False,,,0,False,,,0,,,0,,,False,0,0,False,success,scored
113,3ip0,A,P26281,3ip0_A__P26281,pass_full_length,AF-P26281-F1,6,1,159,AF-P26281-F1,True,True,0.0,2,159,158,158,1.0,70.69,89.22500000000001,98.09,0,6,0,1,,,0,False,85.0,90.0,6,True,,,0,85.0,90.0,6,83.0,69.0,False,0,0,True,success,scored
115,1nwz,A,P16113,1nwz_A__P16113,pass_full_length,AF-P16113-F1,6,1,125,AF-P16113-F1,True,True,0.0,1,125,125,125,1.0,52.97,91.964,97.88,2,3,1,1,1.0,2.0,2,False,1.0,3.0,3,False,,,0,,,0,0.0,122.0,False,0,0,False,success,scored
117,9pwm,A,P0ABQ4,9pwm_A__P0ABQ4,pass_full_length,AF-P0ABQ4-F1,6,1,159,AF-P0ABQ4-F1,True,True,0.0,1,159,159,159,1.0,75.81,92.888,98.19,0,4,0,1,,,0,False,17.0,20.0,4,True,,,0,17.0,20.0,4,16.0,139.0,False,0,0,False,success,scored
