batch1_rank	candidate_index	canonical_source_row	polymer_entity_id	pair_id	historical_screening_index	PDB	chain	UniProt	sequence_cluster	sampling_stratum_prior	sampling_stratum_prior_source	prior_evidence_status	prior_evidence_sources	prior_observability_complete	supported_sampling_priors	estimated_P0_readiness	estimated_P1_risk	local_data_complete	missing_local_inputs	selection_reason
1	1	0	2VB1_1	2vb1_A__P00698	1	2vb1	A	P00698	30:18	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=1.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
2	91	92	1X8Q_1	1x8q_A__Q94734		1x8q	A	Q94734	30:2732	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
3	88	89	1PJX_1	1pjx_A__Q7SIG4		1pjx	A	Q7SIG4	30:6115	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
4	165	171	4UYR_1	4uyr_A__P08640	12	4uyr	A	P08640	30:46244	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=12.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=ge600;unique_uniprot;unique_known_sequence_cluster
5	49	48	1FN8_1	1fn8_A__P35049		1fn8	A	P35049	30:3022	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
6	96	97	3PYP_1	3pyp_A__P16113		3pyp	A	P16113	30:1944	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
7	7	6	2WFI_1	2wfi_A__Q13427	11	2wfi	A	Q13427	30:15528	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=11.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=ge600;unique_uniprot;unique_known_sequence_cluster
8	57	56	5HB7_1	5hb7_A__G0S156	14	5hb7	A	G0S156	30:17436	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=14.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
9	26	25	5MN1_1	5mn1_A__P00760		5mn1	A	P00760	30:71	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
10	125	129	6S2S_1	6s2s_A__P02689		6s2s	A	P02689	30:228	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
11	208	214	6FMC_1	6fmc_A__O14786	18	6fmc	A	O14786	30:10714	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=18.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=ge600;unique_uniprot;unique_known_sequence_cluster
12	177	183	4WEE_1	4wee_A__P21707	17	4wee	A	P21707	30:3258	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=17.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
13	46	45	9CY0_1	9cy0_A__P0DTD1		9cy0	A	P0DTD1	30:44	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
