screening_index,polymer_entity_id,pdb_id,entity_id,chain_id,auth_asym_ids,uniprot_id,all_uniprot_ids,length,experimental_method,resolution,organism,taxonomy_id,sequence_cluster,protein_chain_count,protein_entity_count,initial_release_date,afdb_available,afdb_global_plddt,afdb_model_entity_id,afdb_version,discovery_status,error,provisional_stratum,length_bin,single_chain_proxy,selection_reason,selected_for_screening,preflight_status,preflight_reason,full_length_mapping_coverage,entity_mapping_coverage,sequence_identity,observed_ca_fraction_of_mapped,pair_name,pair_status,geometry_status,robust_status,segment_context_status,complete_diagnostics,quality_pass,candidate_tags,primary_category,exclusion_reason
1,2VB1_1,2vb1,1,A,A,P00698,P00698,129.0,X-RAY DIFFRACTION,0.65,Gallus gallus,9031.0,30:18,1.0,1.0,2007-09-18T00:00:00.000+00:00,True,93.88,AF-P00698-F1,6.0,eligible,,high_global_confidence,100-180,True,quota:high_global_confidence,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8775510204081632,1.0,1.0,1.0,2vb1_A__P00698,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
2,4I8H_1,4i8h,1,A,A,P00760,P00760,223.0,X-RAY DIFFRACTION,0.75,Bos taurus,9913.0,30:71,1.0,1.0,2012-12-19T00:00:00.000+00:00,True,93.12,AF-P00760-F1,6.0,eligible,,high_global_confidence,181-300,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,0.9065040650406504,1.0,1.0,1.0,4i8h_A__P00760,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
3,4ZM7_1,4zm7,1,A,A,B3Y002,B3Y002,180.0,X-RAY DIFFRACTION,0.701,Phanerodontia chrysosporium,2822231.0,30:15306,1.0,1.0,2015-09-02T00:00:00.000+00:00,True,92.25,AF-B3Y002-F1,6.0,eligible,,high_global_confidence,100-180,True,quota:high_global_confidence,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8737864077669902,1.0,0.9944444444444444,1.0,4zm7_A__B3Y002,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
4,6L27_1,6l27,1,A,A,P42212,P42212,227.0,X-RAY DIFFRACTION,0.77,Aequorea victoria,6100.0,30:465,1.0,1.0,2020-04-01T00:00:00.000+00:00,True,96.62,AF-P42212-F1,6.0,eligible,,high_global_confidence,181-300,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,0.957983193277311,1.0044052863436124,0.9777777777777776,0.986842105263158,6l27_A__P42212,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
5,6S2M_1,6s2m,1,A,A,P02689,P02689,133.0,X-RAY DIFFRACTION,0.72,Homo sapiens,9606.0,30:228,1.0,1.0,2019-08-28T00:00:00.000+00:00,True,96.38,AF-P02689-F1,6.0,eligible,,high_global_confidence,100-180,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.0,0.9924812030075189,1.0,1.0,6s2m_A__P02689,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
6,1GCI_1,1gci,1,A,A,P29600,P29600,269.0,X-RAY DIFFRACTION,0.78,Lederbergia lenta,1467.0,30:1037,1.0,1.0,1998-10-21T00:00:00.000+00:00,True,98.62,AF-P29600-F1,6.0,eligible,,high_global_confidence,181-300,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.0,1.0,1.0,1.0,1gci_A__P29600,complete,complete,complete,successful_no_segments,True,True,,unclassified,
7,5YCE_1,5yce,1,A,A,P02185,P02185,154.0,X-RAY DIFFRACTION,0.77,Physeter macrocephalus,9755.0,30:176,1.0,1.0,2018-09-19T00:00:00.000+00:00,True,97.5,AF-P02185-F1,6.0,eligible,,high_global_confidence,100-180,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.0,1.0,1.0,0.9805194805194806,5yce_A__P02185,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
8,3W5H_1,3w5h,1,A,A,P83686,P83686,272.0,X-RAY DIFFRACTION,0.78,Sus scrofa,9823.0,30:3653,1.0,1.0,2013-07-17T00:00:00.000+00:00,True,97.06,AF-P83686-F1,6.0,eligible,,high_global_confidence,181-300,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.0,1.0,1.0,1.0,3w5h_A__P83686,complete,complete,complete,complete,True,True,,unclassified,
9,7KR0_1,7kr0,1,A,A,P0DTD1,P0DTD1,173.0,X-RAY DIFFRACTION,0.77,Severe acute respiratory syndrome coronavirus 2,2697049.0,30:44,1.0,1.0,2020-12-09T00:00:00.000+00:00,True,96.08,AF-0000000365840311,1.0,eligible,,high_global_confidence,100-180,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.3412698412698412,0.976878612716763,1.0,1.0,7kr0_A__P0DTD1,complete,failed_geometry,not_started,not_started,False,False,,unclassified,geometry=failed_geometry;robust=not_started;segment_context=not_started
10,6ZM8_1,6zm8,1,A,A,A0A7S6K8E4,A0A7S6K8E4,208.0,X-RAY DIFFRACTION,0.78,Sodiomyces alcalophilus,398408.0,30:23462,1.0,1.0,2021-07-14T00:00:00.000+00:00,True,93.81,AF-A0A7S6K8E4-F1,6.0,eligible,,high_global_confidence,181-300,True,quota:high_global_confidence,True,pass_full_length,Suitable for the main A0 screening pipeline.,0.9162995594713657,1.0,1.0,1.0,6zm8_A__A0A7S6K8E4,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
