candidate_index	canonical_source_row	polymer_entity_id	pair_id	historical_screening_index	PDB	chain	UniProt	sequence_cluster	protein_family_if_available	canonical_uniprot_length	mapped_length	mapping_coverage	identity_source_available	mapping_available	pair_qc_status	local_PDB_available	local_AFDB_available	local_PAE_available	local_pLDDT_available	fragment_metadata_available	fragment_count	single_fragment_full_coverage_possible	PDB_CA_coverage_proxy	missing_residue_proxy	global_pLDDT_proxy	low_confidence_fraction_proxy	long_range_PAE_proxy	existing_PDB_AFDB_disagreement_proxy	ligand_annotation_available	interface_annotation_available	known_sequence_mismatch_flag	known_provenance_issue	estimated_P0_readiness	estimated_P1_risk	local_data_complete	missing_local_inputs	sampling_stratum_prior	sampling_stratum_prior_source	prior_evidence_status	prior_evidence_sources	prior_observability_complete	supported_sampling_priors	round1_member
1	0	2VB1_1	2vb1_A__P00698	1	2vb1	A	P00698	30:18		147			false	false		true	true	true	true	true	1	true	1.0	0.0	93.88	0.109			true				partial_local_inputs	unknown	false	pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=1.0	false		false
2	1	1US0_1	1us0_A__P15121		1us0	A	P15121	30:408					false	false		true	false	false	false	false					98.31				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
3	2	4ZM7_1	4zm7_A__B3Y002	3	4zm7	A	B3Y002	30:15306		206			false	false		true	false	false	false	false			1.0	0.0	92.25				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=3.0	false		false
4	3	6S2M_1	6s2m_A__P02689	5	6s2m	A	P02689	30:228		132	132	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	96.38	0.015	9.0	0.34545211379856045	true			residue_count_mismatch	likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=5.0;data/raw/afdb/P02689/AF-P02689-F1/model.cif;data/raw/afdb/P02689/AF-P02689-F1/pae.json;data/raw/pdb/6s2m.cif;data/processed/pairs/6s2m_A__P02689/residue_mapping.parquet	true	easy_control_prior	true
5	4	4REK_1	4rek_A__P12676	21	4rek	A	P12676	30:7690		546	499	0.9139194139194139	true	true	pass	true	true	true	true	true	1	true	0.997995991983968	0.002004008016031955	95.19	0.053	3.5	0.12948573686906753	true				likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=21.0;data/raw/afdb/P12676/AF-P12676-F1/model.cif;data/raw/afdb/P12676/AF-P12676-F1/pae.json;data/raw/pdb/4rek.cif;data/processed/pairs/4rek_A__P12676/residue_mapping.parquet	true	easy_control_prior	true
6	5	2OV0_1	2ov0_A__P22364	31	2ov0	A	P22364	30:5586		131			false	false		true	false	false	false	false			1.0	0.0	88.25				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=31.0	false		false
7	6	2WFI_1	2wfi_A__Q13427	11	2wfi	A	Q13427	30:15528		754			false	false		true	false	false	false	false			0.9717514124293786	0.02824858757062143	57.06				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=11.0	false		false
8	7	2WFJ_1	2wfj_A__Q13427		2wfj	A	Q13427	30:15528					false	false		false	false	false	false	false					57.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
9	8	4I8H_1	4i8h_A__P00760	2	4i8h	A	P00760	30:71		246	223	0.9065040650406504	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	93.12	0.098	3.5	0.13174650405888588	true				likely_ready	lower_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=2.0;data/raw/afdb/P00760/AF-P00760-F1/model.cif;data/raw/afdb/P00760/AF-P00760-F1/pae.json;data/raw/pdb/4i8h.cif;data/processed/pairs/4i8h_A__P00760/residue_mapping.parquet	true	easy_control_prior	true
10	9	8C5N_1	8c5n_A__Q02I11	32	8c5n	A	Q02I11	30:17479		389			false	false		true	false	false	false	false			0.9946524064171124	0.005347593582887611	88.38				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=32.0	false		false
