screening_index,source,pdb_id,chain_id,uniprot_id,pair_name,provisional_stratum,pilot_role,preflight_status,full_length_mapping_coverage,entity_mapping_coverage,sequence_identity,observed_ca_fraction,pair_status,geometry_status,robust_status,segment_context_status,confidence_model_match,mapped_plddt_min,mapped_plddt_q10,mapped_plddt_median,longest_internal_below_70_length,longest_internal_below_80_length,terminal_only_below_80,ca_disagreement_median,ca_disagreement_p90,ca_disagreement_max,largest_high_conf_disagreement_segment,high_conf_segment_median_plddt,high_conf_segment_disagreement,pae_6_11_q50,pae_6_11_q90,pae_6_11_mean,pae_6_11_above_10_fraction,pae_6_11_above_15_fraction,pae_6_11_pair_count,pae_12_23_q50,pae_12_23_q90,pae_12_23_mean,pae_12_23_above_10_fraction,pae_12_23_above_15_fraction,pae_12_23_pair_count,pae_24_47_q50,pae_24_47_q90,pae_24_47_mean,pae_24_47_above_10_fraction,pae_24_47_above_15_fraction,pae_24_47_pair_count,pae_48_95_q50,pae_48_95_q90,pae_48_95_mean,pae_48_95_above_10_fraction,pae_48_95_above_15_fraction,pae_48_95_pair_count,pae_96_plus_q50,pae_96_plus_q90,pae_96_plus_mean,pae_96_plus_above_10_fraction,pae_96_plus_above_15_fraction,pae_96_plus_pair_count,long_range_48_95_pae_q90,long_range_48_95_above_10_fraction,long_range_48_95_above_15_fraction,long_range_96_plus_pae_q90,long_range_96_plus_above_10_fraction,long_range_96_plus_above_15_fraction,is_easy_control,is_low_conf_local,is_high_pae_long_range,is_high_conf_state_disagreement,is_construct_difference,is_missing_coordinate_stress,easy_control_evidence_available,low_conf_evidence_available,high_pae_evidence_available,state_disagreement_evidence_available,construct_evidence_available,missing_coordinate_evidence_available,easy_control_evidence_summary,low_conf_evidence_summary,high_pae_evidence_summary,state_disagreement_evidence_summary,construct_evidence_summary,missing_coordinate_evidence_summary,primary_category,classification_status,full_diagnostic_complete,main_quality_pass,selection_eligible,classification_explanation,evidence_assembly_status,evidence_assembly_reason,model_evidence_mismatch
,reference_pair,1ake,A,P69441,1ake_A__P69441,reference_pair,high_confidence_state_disagreement_reference,reference_quality_pass,1.0,1.0,1.0,1.0,complete,complete,complete,complete,True,87.88,92.81,96.44,0.0,0.0,False,0.4492599401745392,1.0310801610853513,3.8733514721306457,7,96.5,2.688582511038501,2.0,3.0,1.8795620437956204,0.0,0.0,1233.0,2.5,4.0,2.6719677692960135,0.0,0.0,2358.0,3.5,5.5,3.561974789915966,0.0,0.0,4284.0,3.5,5.5,3.6184210526315788,0.0020467836257309943,0.0,6840.0,3.0,5.0,3.262640649480131,0.0011394388263780088,0.0,7021.0,5.5,0.0020467836257309943,0.0,5.0,0.0011394388263780088,0.0,False,False,False,True,False,False,True,True,True,True,True,True,available=True; mapped pLDDT median=96.44; CA disagreement p90=1.0310801610853513; largest high-confidence run=7,internal below-80 run length=0,"48_95:q90=5.5,>10=0.00205,>15=0,n=6840; 96_plus:q90=5,>10=0.00114,>15=0,n=7021","qualifying segments=2, largest high-confidence run=7",preflight=reference_quality_pass; pilot_role=high_confidence_state_disagreement_reference,observed CA fraction=1.0; secondary stress=None,high_confidence_state_disagreement,complete_classification,True,True,True,status=complete_classification; primary=high_confidence_state_disagreement; active_labels=high_confidence_state_disagreement; missing evidence remains unknown rather than negative.,success,assembled,False
1,screening_pool,2vb1,A,P00698,2vb1_A__P00698,high_global_confidence,,warn_construct_difference,0.8775510204081632,1.0,1.0,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=warn_construct_difference; pilot_role=None,observed CA fraction=1.0; secondary stress=None,construct_difference_control,partial_classification,False,False,False,status=partial_classification; primary=construct_difference_control; active_labels=construct_difference_control; missing evidence remains unknown rather than negative.,success,assembled,False
2,screening_pool,4i8h,A,P00760,4i8h_A__P00760,high_global_confidence,,pass_full_length,0.9065040650406504,1.0,1.0,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
3,screening_pool,4zm7,A,B3Y002,4zm7_A__B3Y002,high_global_confidence,,warn_construct_difference,0.8737864077669902,1.0,0.9944444444444444,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=warn_construct_difference; pilot_role=None,observed CA fraction=1.0; secondary stress=None,construct_difference_control,partial_classification,False,False,False,status=partial_classification; primary=construct_difference_control; active_labels=construct_difference_control; missing evidence remains unknown rather than negative.,success,assembled,False
4,screening_pool,6l27,A,P42212,6l27_A__P42212,high_global_confidence,,pass_full_length,0.957983193277311,1.0044052863436124,0.9777777777777776,0.986842105263158,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=0.986842105263158; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
5,screening_pool,6s2m,A,P02689,6s2m_A__P02689,high_global_confidence,,pass_full_length,1.0,0.9924812030075189,1.0,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
6,screening_pool,1gci,A,P29600,1gci_A__P29600,high_global_confidence,high_confidence_positive,pass_full_length,1.0,1.0,1.0,1.0,complete,complete,complete,successful_no_segments,True,93.25,98.19,98.81,0.0,0.0,False,0.1647295641974449,0.367050941318478,0.7674399108362358,0,,,1.0,2.0,1.4043506078055021,0.0,0.0,1563.0,1.5,2.5,1.643638170974155,0.0,0.0,3018.0,1.5,2.5,1.7370628122769451,0.0,0.0,5604.0,2.0,2.5,1.9154008438818566,0.0,0.0,9480.0,2.0,3.0,2.0854096073350608,0.0,0.0,15051.0,2.5,0.0,0.0,3.0,0.0,0.0,True,False,False,False,False,False,True,True,True,True,True,True,available=True; mapped pLDDT median=98.81; CA disagreement p90=0.367050941318478; largest high-confidence run=0,internal below-80 run length=0,"48_95:q90=2.5,>10=0,>15=0,n=9480; 96_plus:q90=3,>10=0,>15=0,n=15051","qualifying segments=0, largest high-confidence run=0",preflight=pass_full_length; pilot_role=high_confidence_positive,observed CA fraction=1.0; secondary stress=None,easy_control,complete_classification,True,True,True,status=complete_classification; primary=easy_control; active_labels=easy_control; missing evidence remains unknown rather than negative.,success,assembled,False
7,screening_pool,5yce,A,P02185,5yce_A__P02185,high_global_confidence,,pass_full_length,1.0,1.0,1.0,0.9805194805194806,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=0.9805194805194806; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
8,screening_pool,3w5h,A,P83686,3w5h_A__P83686,high_global_confidence,high_confidence_replicate,pass_full_length,1.0,1.0,1.0,1.0,complete,complete,complete,complete,True,72.81,94.62,97.88,0.0,0.0,True,0.3420879219647284,0.7603968302395495,3.482033813455044,4,92.16,1.2875978329752298,2.0,3.0,1.911764705882353,0.0018975332068311196,0.0,1581.0,2.0,4.0,2.3722986247544204,0.003601833660772757,0.0003274394237066143,3054.0,2.0,4.0,2.4454721634954195,0.0024665257223396757,0.00035236081747709656,5676.0,2.5,4.5,2.872142560266002,0.006961762261014131,0.0015586034912718205,9624.0,3.5,5.5,3.6660888546481765,0.019838212634822803,0.0034668721109399076,15576.0,4.5,0.006961762261014131,0.0015586034912718205,5.5,0.019838212634822803,0.0034668721109399076,False,False,False,False,False,False,True,True,True,True,True,True,available=True; mapped pLDDT median=97.88; CA disagreement p90=0.7603968302395495; largest high-confidence run=4,internal below-80 run length=0,"48_95:q90=4.5,>10=0.00696,>15=0.00156,n=9624; 96_plus:q90=5.5,>10=0.0198,>15=0.00347,n=15576","qualifying segments=0, largest high-confidence run=4",preflight=pass_full_length; pilot_role=high_confidence_replicate,observed CA fraction=1.0; secondary stress=None,ordinary_or_unclassified,complete_classification,True,True,False,status=complete_classification; primary=ordinary_or_unclassified; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
9,screening_pool,7kr0,A,P0DTD1,7kr0_A__P0DTD1,high_global_confidence,,unsupported_afdb_fragment,0.0238195912614517,0.976878612716763,1.0,1.0,complete,failed_geometry,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=unsupported_afdb_fragment; pilot_role=None,observed CA fraction=1.0; secondary stress=None,unsupported_afdb_fragment,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=unsupported_afdb_fragment; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
