candidate_index	canonical_source_row	polymer_entity_id	pair_id	PDB	chain	UniProt	current_readiness	primary_acquisition_class	required_external_assets	required_local_derivations	sampling_stratum_prior	prior_evidence_status	selection_reason	target_observability	asset_statuses	requires_pdb_mmcif	requires_sifts	requires_afdb_metadata	requires_afdb_structure	requires_afdb_pae	requires_afdb_confidence
1	0	2VB1_1	2vb1_A__P00698	2vb1	A	P00698	partial_local_inputs	needs_mapping_derivation_only	[]	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""available_local"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""available_local"",""sifts"":""available_local""}"	False	False	False	False	False	False
91	92	1X8Q_1	1x8q_A__Q94734	1x8q	A	Q94734	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
88	89	1PJX_1	1pjx_A__Q7SIG4	1pjx	A	Q7SIG4	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
165	171	4UYR_1	4uyr_A__P08640	4uyr	A	P08640	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=ge600;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
49	48	1FN8_1	1fn8_A__P35049	1fn8	A	P35049	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
96	97	3PYP_1	3pyp_A__P16113	3pyp	A	P16113	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
7	6	2WFI_1	2wfi_A__Q13427	2wfi	A	Q13427	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=ge600;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
57	56	5HB7_1	5hb7_A__G0S156	5hb7	A	G0S156	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
26	25	5MN1_1	5mn1_A__P00760	5mn1	A	P00760	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
125	129	6S2S_1	6s2s_A__P02689	6s2s	A	P02689	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
