screening_index	pdb_id	chain_id	uniprot_id	provisional_stratum	selection_stage	pdb_entity_length	canonical_uniprot_length	pdb_to_uniprot_length_ratio	afdb_global_plddt	resolution	organism	sequence_cluster	experimental_method	protein_chain_count	full_length_mapping_coverage	entity_mapping_coverage	sequence_identity	observed_ca_fraction_of_mapped	internal_unmapped_fraction	preflight_status	preflight_reason	afdb_selection_status	selected_afdb_model_entity_id	afdb_version	afdb_fragment_start	afdb_fragment_end	discovery_rank	selection_reason	exclusion_reasons	duplicate_with_original_pool	error	runtime_seconds
101	8pb5	A	P0DPA9	lower_global_confidence_replacement	full_length_proxy_preflight	322.0	309.0	1.0420711974110033	89.31	0.89	Psilocybe cubensis	30:5086	X-RAY DIFFRACTION	1.0	1.0	0.9596273291925466	0.9967637540453075	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P0DPA9-F1	6.0	1.0	309.0	1	full_length_proxy;confidence_ranked		False		2.6665837361942977
102	6eio	A	A0A023J6X7	lower_global_confidence_replacement	full_length_proxy_preflight	237.0	251.0	0.9442231075697212	90.0	0.84	uncultured bacterium	30:17615	X-RAY DIFFRACTION	1.0						failed_runtime	runtime_error	not_evaluated					2	full_length_proxy;confidence_ranked	missing_full_length_mapping_coverage;missing_entity_mapping_coverage;missing_sequence_identity;missing_observed_ca;failed_runtime	False	LookupError: No SIFTS residue mapping found for chain A and UniProt A0A023J6X7.	2.086039252113551
103	5avd	A	P00772	lower_global_confidence_replacement	full_length_proxy_preflight	240.0	266.0	0.9022556390977443	91.56	0.86	Sus scrofa	30:1378	X-RAY DIFFRACTION	1.0	0.9022556390977443	1.0	0.9958333333333333	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P00772-F1	6.0	1.0	266.0	3	full_length_proxy;confidence_ranked		False		2.5554500718135387
104	9qdv	A	A0A918GGJ7	lower_global_confidence_replacement	full_length_proxy_preflight	267.0	288.0	0.9270833333333334	92.38	0.89	compost metagenome	30:1899	X-RAY DIFFRACTION	2.0	0.8854166666666666	0.9550561797752809	0.7333333333333333	1.0	0.0	fail_preflight	low_sequence_identity	supported	AF-A0A918GGJ7-F1	6.0	1.0	288.0	4	full_length_proxy;confidence_ranked	low_full_length_mapping_coverage;low_sequence_identity;fail_preflight	False		2.9543411429040134
105	1pq7	A	P35049	lower_global_confidence_replacement	full_length_proxy_preflight	224.0	248.0	0.9032258064516129	92.62	0.8	Fusarium oxysporum	30:3022	X-RAY DIFFRACTION	1.0	0.9032258064516129	1.0	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P35049-F1	6.0	1.0	248.0	5	full_length_proxy;confidence_ranked		False		3.187358920928091
106	8rma	A	W1DN50	lower_global_confidence_replacement	full_length_proxy_preflight	265.0	291.0	0.9106529209621993	93.06	0.83	Klebsiella pneumoniae	30:99	X-RAY DIFFRACTION	1.0	0.9037800687285223	0.9924528301886792	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-W1DN50-F1	6.0	1.0	291.0	6	full_length_proxy;confidence_ranked		False		4.972544132033363
107	8c3x	A	A0A7I9C8Z1	lower_global_confidence_replacement	full_length_proxy_preflight	234.0	240.0	0.975	93.19	0.82	Paradendryphiella salina	30:6986	X-RAY DIFFRACTION	1.0	0.9333333333333333	0.9572649572649573	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-A0A7I9C8Z1-F1	6.0	1.0	240.0	7	full_length_proxy;confidence_ranked		False		0.18116532498970628
108	6tgu	A	P19784	lower_global_confidence_replacement	full_length_proxy_preflight	364.0	350.0	1.04	94.12	0.833	Homo sapiens	30:453	X-RAY DIFFRACTION	1.0						failed_runtime	runtime_error	not_evaluated					8	full_length_proxy;confidence_ranked	missing_full_length_mapping_coverage;missing_entity_mapping_coverage;missing_sequence_identity;missing_observed_ca;failed_runtime	False	AmbiguousLegacyResidueIdentifier: SIFTS PDB residue identifier 'null' is ambiguous.	3.324252493912354
109	2jfr	A	A0QTQ6	lower_global_confidence_replacement	full_length_proxy_preflight	234.0	233.0	1.0042918454935623	94.69	0.83	Mycolicibacterium smegmatis MC2 155	30:49747	X-RAY DIFFRACTION	1.0	1.0	0.9957264957264957	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-A0QTQ6-F1	6.0	1.0	233.0	9	full_length_proxy;confidence_ranked		False		0.2213032420258969
110	1n9b	A	P30896	lower_global_confidence_replacement	full_length_proxy_preflight	265.0	286.0	0.9265734265734266	94.81	0.9	Klebsiella pneumoniae	30:947	X-RAY DIFFRACTION	1.0	0.9265734265734266	1.0	0.9962264150943396	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P30896-F1	6.0	1.0	286.0	10	full_length_proxy;confidence_ranked		False		2.862649403978139
